Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
48,48.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5438,5585,5512,03 Apr 2017,2017,Apr,3,2017-04-03
49,49.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5450,5850,5650,03 Feb 2017,2017,Feb,3,2017-02-03
50,50.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5475,5651,5563,24 Mar 2017,2017,Mar,24,2017-03-24
51,51.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5501,5701,5601,29 Mar 2017,2017,Mar,29,2017-03-29
52,52.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5525,6001,5763,28 Jan 2017,2017,Jan,28,2017-01-28
53,53.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5650,5650,5650,27 Jan 2017,2017,Jan,27,2017-01-27
54,54.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5801,5901,5851,31 Jan 2017,2017,Jan,31,2017-01-31
55,55.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5950,6131,6040,30 Jan 2017,2017,Jan,30,2017-01-30
56,56.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6100,6100,6100,13 Jan 2017,2017,Jan,13,2017-01-13
57,57.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6101,6101,6101,16 Jan 2017,2017,Jan,16,2017-01-16
58,58.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6201,6201,6201,24 Jan 2017,2017,Jan,24,2017-01-24
59,59.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6201,6201,6201,25 Jan 2017,2017,Jan,25,2017-01-25
60,60.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6300,6475,6387,20 Jan 2017,2017,Jan,20,2017-01-20
61,61.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6300,6500,6400,10 Jan 2017,2017,Jan,10,2017-01-10
62,62.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6301,6301,6301,17 Jan 2017,2017,Jan,17,2017-01-17
63,63.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6301,6391,6346,18 Jan 2017,2017,Jan,18,2017-01-18
64,64.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6350,6372,6361,23 Jan 2017,2017,Jan,23,2017-01-23
65,65.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6401,6401,6401,19 Jan 2017,2017,Jan,19,2017-01-19
66,66.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6401,6600,6500,12 Jan 2017,2017,Jan,12,2017-01-12
67,67.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6500,6600,6550,09 Jan 2017,2017,Jan,9,2017-01-09
