,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
29,29.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,30 Apr 2022,2022,Apr,30,2022-04-30
30,30.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,1500,2000,1800,28 Mar 2017,2017,Mar,28,2017-03-28
31,31.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,1600,2000,1800,17 Apr 2017,2017,Apr,17,2017-04-17
32,32.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,1800,2000,1900,23 Mar 2017,2017,Mar,23,2017-03-23
33,33.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,1800,2500,2000,18 Apr 2017,2017,Apr,18,2017-04-18
34,34.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,2000,2500,2200,04 Feb 2017,2017,Feb,4,2017-02-04
35,35.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,2000,3000,2500,12 Apr 2017,2017,Apr,12,2017-04-12
36,36.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,2000,3000,2500,14 Feb 2017,2017,Feb,14,2017-02-14
37,37.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,3500,4000,3700,01 Nov 2016,2016,Nov,1,2016-11-01
38,38.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,3500,4000,3700,04 Oct 2016,2016,Oct,4,2016-10-04
39,39.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,3500,4000,3800,13 Oct 2016,2016,Oct,13,2016-10-13
40,40.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,3500,4000,3800,25 Jan 2017,2017,Jan,25,2017-01-25
41,41.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,3500,4000,3800,25 Oct 2016,2016,Oct,25,2016-10-25
42,42.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,3500,4000,3800,26 Oct 2016,2016,Oct,26,2016-10-26
43,43.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,3500,4000,3800,30 Jan 2017,2017,Jan,30,2017-01-30
44,44.0,North and Middle Andaman,Diglipur,Potato,Other,FAQ,5000,6000,5500,23 Nov 2016,2016,Nov,23,2016-11-23
45,45.0,Nicobar,Car Nicobar,Potato,Other,FAQ,4000,6000,5000,10 May 2019,2019,May,10,2019-05-10
46,46.0,Nicobar,Car Nicobar,Potato,Other,FAQ,4000,6000,5000,13 Jun 2019,2019,Jun,13,2019-06-13
47,47.0,Nicobar,Car Nicobar,Potato,Other,FAQ,4000,6000,5000,14 Jun 2019,2019,Jun,14,2019-06-14
48,48.0,Nicobar,Car Nicobar,Potato,Other,FAQ,4000,6000,5000,15 Jun 2019,2019,Jun,15,2019-06-15
49,49.0,Nicobar,Car Nicobar,Potato,Other,FAQ,4000,6000,5000,17 Jun 2019,2019,Jun,17,2019-06-17
50,50.0,Nicobar,Car Nicobar,Potato,Other,FAQ,4000,8000,5000,12 Jun 2019,2019,Jun,12,2019-06-12
51,51.0,Nicobar,Car Nicobar,Potato,Other,FAQ,4000,8000,6000,07 Jun 2019,2019,Jun,7,2019-06-07
52,52.0,South Andaman,Port Blair,Potato,Other,FAQ,2000,3000,2500,03 May 2019,2019,May,3,2019-05-03
53,53.0,South Andaman,Port Blair,Potato,Other,FAQ,2000,3000,2500,09 Mar 2019,2019,Mar,9,2019-03-09
54,54.0,South Andaman,Port Blair,Potato,Other,FAQ,2000,3000,2500,23 Mar 2019,2019,Mar,23,2019-03-23
55,55.0,South Andaman,Port Blair,Potato,Other,FAQ,2000,3500,3000,04 Mar 2019,2019,Mar,4,2019-03-04
56,56.0,South Andaman,Port Blair,Potato,Other,FAQ,2500,3500,3000,06 Apr 2019,2019,Apr,6,2019-04-06
57,57.0,South Andaman,Port Blair,Potato,Other,FAQ,2500,3500,3000,07 Mar 2019,2019,Mar,7,2019-03-07
58,58.0,South Andaman,Port Blair,Potato,Other,FAQ,2500,3500,3000,18 Mar 2019,2019,Mar,18,2019-03-18
59,59.0,South Andaman,Port Blair,Potato,Other,FAQ,2500,3500,3000,22 Apr 2019,2019,Apr,22,2019-04-22
60,60.0,South Andaman,Port Blair,Potato,Other,FAQ,2500,3500,3000,29 Mar 2019,2019,Mar,29,2019-03-29
61,61.0,Nicobar,Car Nicobar,Potato,Other,FAQ,6000,6000,6000,02 Jun 2023,2023,Jun,2,2023-06-02
62,62.0,Nicobar,Car Nicobar,Potato,Other,FAQ,6000,6000,6000,03 Feb 2023,2023,Feb,3,2023-02-03
63,63.0,Nicobar,Car Nicobar,Potato,Other,FAQ,6000,6000,6000,05 Jun 2023,2023,Jun,5,2023-06-05
64,64.0,Nicobar,Car Nicobar,Potato,Other,FAQ,6000,6000,6000,06 Feb 2023,2023,Feb,6,2023-02-06
65,65.0,Nicobar,Car Nicobar,Potato,Other,FAQ,6000,6000,6000,06 Jan 2023,2023,Jan,6,2023-01-06
