Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
86,86.0,Tirap,Khonsa,Potato,Other,FAQ,880,900,880,10 Apr 2015,2015,Apr,10,2015-04-10
87,87.0,Tirap,Khonsa,Potato,Other,FAQ,880,900,880,19 Mar 2015,2015,Mar,19,2015-03-19
88,88.0,Tirap,Khonsa,Potato,Other,FAQ,880,900,880,21 May 2015,2015,May,21,2015-05-21
89,89.0,Tirap,Khonsa,Potato,Other,FAQ,880,900,880,23 Apr 2015,2015,Apr,23,2015-04-23
90,90.0,Tirap,Khonsa,Potato,Other,FAQ,880,920,880,01 Jun 2015,2015,Jun,1,2015-06-01
91,91.0,Tirap,Khonsa,Potato,Other,FAQ,880,920,880,14 May 2015,2015,May,14,2015-05-14
92,92.0,Tirap,Khonsa,Potato,Other,FAQ,880,920,880,15 May 2015,2015,May,15,2015-05-15
93,93.0,Tirap,Khonsa,Potato,Other,FAQ,880,920,880,22 May 2015,2015,May,22,2015-05-22
94,94.0,Tirap,Khonsa,Potato,Other,FAQ,880,920,880,23 May 2015,2015,May,23,2015-05-23
95,95.0,Tirap,Khonsa,Potato,Other,FAQ,880,920,880,27 May 2015,2015,May,27,2015-05-27
96,96.0,Tirap,Khonsa,Potato,Other,FAQ,880,920,880,28 May 2015,2015,May,28,2015-05-28
97,97.0,Tirap,Khonsa,Potato,Other,FAQ,880,920,880,29 May 2015,2015,May,29,2015-05-29
98,98.0,Tirap,Khonsa,Potato,Other,FAQ,900,900,900,12 Mar 2015,2015,Mar,12,2015-03-12
99,99.0,Tirap,Khonsa,Potato,Other,FAQ,900,900,900,16 Mar 2015,2015,Mar,16,2015-03-16
100,100.0,Tirap,Khonsa,Potato,Other,FAQ,900,900,900,24 Mar 2015,2015,Mar,24,2015-03-24
101,101.0,Tirap,Khonsa,Potato,Other,FAQ,900,920,900,27 Mar 2015,2015,Mar,27,2015-03-27
102,102.0,Tirap,Khonsa,Potato,Other,FAQ,900,930,900,14 Mar 2015,2015,Mar,14,2015-03-14
103,103.0,Tirap,Khonsa,Potato,Other,FAQ,900,940,900,18 Mar 2015,2015,Mar,18,2015-03-18
104,104.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,02 Jun 2015,2015,Jun,2,2015-06-02
105,105.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,03 Jun 2015,2015,Jun,3,2015-06-03
106,106.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,10 Jun 2015,2015,Jun,10,2015-06-10
107,107.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,10 Mar 2015,2015,Mar,10,2015-03-10
108,108.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,11 Mar 2015,2015,Mar,11,2015-03-11
109,109.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,15 Jun 2015,2015,Jun,15,2015-06-15
110,110.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,17 Apr 2015,2015,Apr,17,2015-04-17
111,111.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,17 Mar 2015,2015,Mar,17,2015-03-17
112,112.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,18 Apr 2015,2015,Apr,18,2015-04-18
113,113.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,23 Mar 2015,2015,Mar,23,2015-03-23
114,114.0,Tirap,Khonsa,Potato,Other,FAQ,900,950,900,30 Mar 2015,2015,Mar,30,2015-03-30
115,115.0,Tirap,Khonsa,Potato,Other,FAQ,900,975,900,13 Mar 2015,2015,Mar,13,2015-03-13
116,116.0,Tirap,Khonsa,Potato,Other,FAQ,940,1000,940,28 Mar 2015,2015,Mar,28,2015-03-28
117,117.0,Tirap,Khonsa,Potato,Other,FAQ,950,1000,950,05 Jun 2015,2015,Jun,5,2015-06-05
118,118.0,Tirap,Khonsa,Potato,Other,FAQ,950,1000,950,06 Jun 2015,2015,Jun,6,2015-06-06
119,119.0,Tirap,Khonsa,Potato,Other,FAQ,950,1000,950,11 Jun 2015,2015,Jun,11,2015-06-11
120,120.0,Tirap,Khonsa,Potato,Other,FAQ,950,1000,950,13 Jun 2015,2015,Jun,13,2015-06-13
121,121.0,Tirap,Khonsa,Potato,Other,FAQ,950,1000,950,16 Jun 2015,2015,Jun,16,2015-06-16
122,122.0,Tirap,Khonsa,Potato,Other,FAQ,950,1000,950,20 Jun 2015,2015,Jun,20,2015-06-20
123,123.0,Tirap,Khonsa,Potato,Other,FAQ,960,1000,960,08 Jun 2015,2015,Jun,8,2015-06-08
124,124.0,Tirap,Khonsa,Potato,Other,FAQ,980,1000,980,24 Jun 2015,2015,Jun,24,2015-06-24
125,125.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1050,1000,22 Jun 2015,2015,Jun,22,2015-06-22
126,126.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1050,1000,25 Jun 2015,2015,Jun,25,2015-06-25
127,127.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1100,1000,04 Jul 2015,2015,Jul,4,2015-07-04
128,128.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1100,1000,04 Mar 2015,2015,Mar,4,2015-03-04
129,129.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1100,1000,05 Mar 2015,2015,Mar,5,2015-03-05
130,130.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1100,1000,09 Jul 2015,2015,Jul,9,2015-07-09
131,131.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1100,1000,11 Jul 2015,2015,Jul,11,2015-07-11
132,132.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1100,1000,27 Jun 2015,2015,Jun,27,2015-06-27
133,133.0,Tirap,Khonsa,Potato,Other,FAQ,1000,1200,1000,18 Jun 2015,2015,Jun,18,2015-06-18
134,134.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,01 Aug 2015,2015,Aug,1,2015-08-01
135,135.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,01 Jul 2015,2015,Jul,1,2015-07-01
136,136.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,02 Jul 2015,2015,Jul,2,2015-07-02
137,137.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,03 Aug 2015,2015,Aug,3,2015-08-03
138,138.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,05 Aug 2015,2015,Aug,5,2015-08-05
139,139.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,07 Aug 2015,2015,Aug,7,2015-08-07
140,140.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,07 Jul 2015,2015,Jul,7,2015-07-07
141,141.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,08 Aug 2015,2015,Aug,8,2015-08-08
142,142.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,08 Jul 2015,2015,Jul,8,2015-07-08
143,143.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,10 Jul 2015,2015,Jul,10,2015-07-10
144,144.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,11 Aug 2015,2015,Aug,11,2015-08-11
145,145.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,12 Aug 2015,2015,Aug,12,2015-08-12
146,146.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,13 Jul 2015,2015,Jul,13,2015-07-13
147,147.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,14 Jul 2015,2015,Jul,14,2015-07-14
148,148.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,16 Jul 2015,2015,Jul,16,2015-07-16
149,149.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,17 Jul 2015,2015,Jul,17,2015-07-17
150,150.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,18 Aug 2015,2015,Aug,18,2015-08-18
151,151.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,18 Jul 2015,2015,Jul,18,2015-07-18
152,152.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,20 Jul 2015,2015,Jul,20,2015-07-20
153,153.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,21 Jul 2015,2015,Jul,21,2015-07-21
154,154.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,22 Jul 2015,2015,Jul,22,2015-07-22
155,155.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,23 Jul 2015,2015,Jul,23,2015-07-23
156,156.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,24 Jul 2015,2015,Jul,24,2015-07-24
157,157.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,25 Jul 2015,2015,Jul,25,2015-07-25
158,158.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,28 Jul 2015,2015,Jul,28,2015-07-28
159,159.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,29 Jul 2015,2015,Jul,29,2015-07-29
160,160.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,29 Jun 2015,2015,Jun,29,2015-06-29
161,161.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,30 Jul 2015,2015,Jul,30,2015-07-30
162,162.0,Tirap,Khonsa,Potato,Other,FAQ,1050,1100,1050,31 Jul 2015,2015,Jul,31,2015-07-31
163,163.0,Tirap,Khonsa,Potato,Other,FAQ,1100,1150,1100,15 Jul 2015,2015,Jul,15,2015-07-15
